"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4152","Успешная авторизация через UI","","Tue Jul 01 07:37:03 GMT 2025","passed","Tue Jul 01 07:37:08 GMT 2025","","tests.api_UI.LoginTest","tests.api_UI.LoginTest","loginUITest"
"","3126","Успешная авторизация через API и проверка имени пользователя в профиле через UI","","Tue Jul 01 07:37:08 GMT 2025","passed","Tue Jul 01 07:37:11 GMT 2025","","tests.api_UI.LoginTest","tests.api_UI.LoginTest","successfulLoginWithApiTest"
"","2708","Добавление нескольких случайных книг в профиль пользователя","","Tue Jul 01 07:36:44 GMT 2025","passed","Tue Jul 01 07:36:46 GMT 2025","","tests.api.AddBookTest","tests.api.AddBookTest","booksShouldBeAddedToUserProfile"
"","1129","Добавление несуществующей книги в профиль пользователя","","Tue Jul 01 07:36:41 GMT 2025","passed","Tue Jul 01 07:36:42 GMT 2025","","tests.api.AddBookErrorTest","tests.api.AddBookErrorTest","addMoreBooks"
"","6793","Добавлены книги: Designing Evolvable Web APIs with ASP.NET, Learning JavaScript Design Patterns, Eloquent JavaScript, Second Edition, Speaking JavaScript","","Tue Jul 01 07:36:46 GMT 2025","passed","Tue Jul 01 07:36:53 GMT 2025","","tests.api_UI.AddBookTest","tests.api_UI.AddBookTest","booksShouldAppearInUserProfileAfterApiAddition"
"","1551","Добавление одной случайной книги в профиль пользователя","","Tue Jul 01 07:36:42 GMT 2025","passed","Tue Jul 01 07:36:44 GMT 2025","","tests.api.AddBookTest","tests.api.AddBookTest","bookShouldBeAddedToUserProfile"
"","0","Удаление нескольких книг из профиля пользователя","","Tue Jul 01 07:37:03 GMT 2025","skipped","Tue Jul 01 07:37:03 GMT 2025","","tests.api_UI.DeleteBookTest","tests.api_UI.DeleteBookTest","deleteOneBookFromUserProfile"
"","5530","Удаление всех книг из профиля пользователя","","Tue Jul 01 07:36:58 GMT 2025","passed","Tue Jul 01 07:37:03 GMT 2025","","tests.api_UI.DeleteBookTest","tests.api_UI.DeleteBookTest","deleteAllBooksFromUserProfile"
"","4044","Добавление книги в профиль пользователя без авторизационных данных","","Tue Jul 01 07:36:33 GMT 2025","passed","Tue Jul 01 07:36:38 GMT 2025","","tests.api.AddBookErrorTest","tests.api.AddBookErrorTest","addBookWithoutLogin"
"","4655","Добавлена книга: Understanding ECMAScript 6","","Tue Jul 01 07:36:53 GMT 2025","passed","Tue Jul 01 07:36:58 GMT 2025","","tests.api_UI.AddBookTest","tests.api_UI.AddBookTest","bookShouldAppearInUserProfileAfterApiAddition"
"","2684","Повторное добавление книги в профиль пользователя","","Tue Jul 01 07:36:38 GMT 2025","passed","Tue Jul 01 07:36:41 GMT 2025","","tests.api.AddBookErrorTest","tests.api.AddBookErrorTest","repeatAddBook"
"","704","Отправка пустого списка книг в теле запроса","","Tue Jul 01 07:36:38 GMT 2025","passed","Tue Jul 01 07:36:38 GMT 2025","","tests.api.AddBookErrorTest","tests.api.AddBookErrorTest","addZeroBook"
